State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
RAJASTHAN,Sikar,2677333.0,1374990.0,1302343.0,0,995275.0,656842.0,527560.0,178274.0,0,1672813.0,605002.0,381226.0,18292.0
RAJASTHAN,Nagaur,3307743.0,,1611418.0,0,,655874.0,675712.0,166489.0,0,2088323.0,754143.0,463469.0,1808.0
RAJASTHAN,Jodhpur,3687165.0,1923928.0,1763237.0,0,1265753.0,765779.0,584215.0,,0,2359786.0,836322.0,489280.0,1777.0
RAJASTHAN,Jaisalmer,669919.0,361708.0,308211.0,0,210415.0,98238.0,159117.0,30830.0,0,448969.0,140294.0,79977.0,679.0
RAJASTHAN,Barmer,2603751.0,1369022.0,1234729.0,0,783461.0,404861.0,542825.0,55980.0,0,1731122.0,527629.0,326476.0,18524.0
RAJASTHAN,Jalor,1828730.0,936634.0,892096.0,0,543923.0,285659.0,419216.0,48202.0,0,1176496.0,390598.0,249379.0,12257.0
RAJASTHAN,Sirohi,1036346.0,534231.0,502115.0,0,309900.0,166906.0,238535.0,69639.0,0,649290.0,244401.0,142251.0,
RAJASTHAN,Pali,2037573.0,1025422.0,1012151.0,0,667381.0,418312.0,512909.0,139808.0,0,1207983.0,467436.0,343384.0,18770.0
RAJASTHAN,Ajmer,2583052.0,1324085.0,1258967.0,0,926268.0,600405.0,409335.0,274919.0,0,1561077.0,629951.0,388040.0,3984.0
RAJASTHAN,Tonk,1421326.0,728136.0,,0,478329.0,,298911.0,81755.0,0,880194.0,334006.0,205593.0,1533.0
RAJASTHAN,Bundi,1110906.0,577160.0,533746.0,0,371705.0,213339.0,239836.0,63452.0,0,686771.0,267648.0,155958.0,529.0
RAJASTHAN,Bhilwara,2408523.0,1220736.0,1187787.0,0,777582.0,478544.0,530015.0,145865.0,0,1439454.0,589476.0,365023.0,14570.0
RAJASTHAN,Rajsamand,1156597.0,581339.0,575258.0,0,383334.0,235805.0,304622.0,61054.0,0,687165.0,275099.0,193668.0,665.0
RAJASTHAN,Dungarpur,1388552.0,696532.0,692020.0,0,415820.0,265771.0,322816.0,31547.0,0,868458.0,317700.0,191917.0,10477.0
RAJASTHAN,Banswara,1797485.0,907754.0,889731.0,0,513854.0,315489.0,390437.0,39407.0,0,1153029.0,406214.0,216554.0,21688.0
RAJASTHAN,Chittaurgarh,1544338.0,783171.0,761167.0,0,514851.0,,366780.0,88873.0,0,880043.0,398303.0,258997.0,6995.0
RAJASTHAN,Kota,1951014.0,1021161.0,929853.0,0,765396.0,532949.0,203454.0,311735.0,0,1177474.0,495896.0,275396.0,
RAJASTHAN,Baran,1222755.0,633945.0,588810.0,0,432607.0,260700.0,249184.0,69804.0,0,762204.0,286344.0,173100.0,1107.0
RAJASTHAN,Jhalawar,1411129.0,725143.0,,0,466815.0,272977.0,298624.0,63763.0,0,850546.0,346110.0,213674.0,799.0
RAJASTHAN,Udaipur,3068420.0,1566801.0,1501619.0,0,973444.0,609185.0,665449.0,182769.0,0,1876436.0,739287.0,451034.0,1663.0
RAJASTHAN,Pratapgarh,867848.0,437744.0,430104.0,0,250122.0,151393.0,209813.0,24269.0,0,,204801.0,115608.0,1452.0
UTTAR PRADESH,Saharanpur,3466382.0,1834106.0,1632276.0,0,1220114.0,856994.0,605082.0,284156.0,0,,769736.0,433862.0,34095.0
UTTAR PRADESH,Muzaffarnagar,4143512.0,2193434.0,1950078.0,0,1448528.0,968811.0,673746.0,296104.0,0,2671757.0,911621.0,544283.0,15851.0
UTTAR PRADESH,Bijnor,3682713.0,1921215.0,1761498.0,0,1241471.0,893922.0,683875.0,224648.0,0,2404576.0,786305.0,450186.0,41646.0
UTTAR PRADESH,Moradabad,4772006.0,2503186.0,2268820.0,0,1357435.0,906413.0,,355518.0,0,3168270.0,988486.0,525574.0,89676.0
UTTAR PRADESH,Rampur,2335819.0,1223889.0,1111930.0,0,630408.0,413258.0,396775.0,143217.0,0,1576123.0,491164.0,258913.0,9619.0
UTTAR PRADESH,Jyotiba Phule Nagar,1840221.0,963449.0,876772.0,0,600541.0,382569.0,335888.0,115486.0,0,1227283.0,391275.0,215849.0,5814.0
UTTAR PRADESH,Meerut,3443689.0,1825743.0,1617946.0,0,1254520.0,886968.0,381520.0,422303.0,0,2165117.0,780475.0,451827.0,46270.0
UTTAR PRADESH,Baghpat,1303048.0,700070.0,602978.0,0,489858.0,308112.0,246055.0,69991.0,0,817140.0,283276.0,194548.0,
UTTAR PRADESH,Ghaziabad,4681645.0,2488834.0,2192811.0,0,1811397.0,1311867.0,355407.0,836316.0,0,2891069.0,1139871.0,559963.0,90742.0
UTTAR PRADESH,Gautam Buddha Nagar,1648115.0,890214.0,757901.0,0,666065.0,456882.0,170835.0,338935.0,0,1015648.0,402967.0,188862.0,40638.0
UTTAR PRADESH,Bulandshahr,3499171.0,1845260.0,1653911.0,0,1253314.0,778342.0,658449.0,221628.0,0,2246254.0,753949.0,472808.0,26160.0
UTTAR PRADESH,Aligarh,3673889.0,1951996.0,1721893.0,0,1283380.0,809187.0,582117.0,275942.0,0,2378289.0,787408.0,472667.0,35525.0
UTTAR PRADESH,Mahamaya Nagar,1564708.0,836127.0,728581.0,0,579157.0,363415.0,288150.0,84883.0,0,1011157.0,339137.0,210083.0,4331.0
UTTAR PRADESH,Mathura,2547184.0,1367125.0,1180059.0,0,943346.0,564400.0,407488.0,177802.0,0,1600686.0,535738.0,327854.0,82906.0
UTTAR PRADESH,Agra,4418797.0,2364953.0,2053844.0,0,1614594.0,1065916.0,496971.0,406852.0,0,2871903.0,991255.0,547873.0,7766.0
UTTAR PRADESH,Firozabad,2498156.0,1332046.0,1166110.0,0,912314.0,609492.0,349747.0,185621.0,0,1621154.0,543730.0,312689.0,20583.0
UTTAR PRADESH,Mainpuri,1868529.0,993377.0,875152.0,0,712110.0,491775.0,338475.0,72783.0,0,1193660.0,402321.0,265638.0,6910.0
UTTAR PRADESH,Budaun,3681896.0,,1714137.0,0,986501.0,560976.0,710956.0,156668.0,0,2436051.0,748408.0,424194.0,73243.0
UTTAR PRADESH,Bareilly,4448359.0,2357665.0,2090694.0,0,1342697.0,849062.0,631613.0,362798.0,0,2893965.0,952233.0,514141.0,88020.0
UTTAR PRADESH,Pilibhit,2031007.0,1072002.0,959005.0,0,654290.0,406805.0,371752.0,89638.0,0,1320476.0,449673.0,256276.0,4582.0
UTTAR PRADESH,Shahjahanpur,3006538.0,,1400135.0,0,915142.0,575788.0,,134714.0,0,1961237.0,652237.0,368743.0,24321.0
UTTAR PRADESH,Kheri,4021243.0,2123187.0,1898056.0,0,1237157.0,796887.0,754938.0,107672.0,0,2582597.0,896611.0,510832.0,31203.0
UTTAR PRADESH,Sitapur,4483992.0,2375264.0,2108728.0,0,1397702.0,886031.0,827583.0,111319.0,0,2862383.0,1000987.0,588318.0,32304.0
